girl boy
lion lioness
wife husband
waiter waitress
father mother
grandfather grandmother
uncle aunt
brother sister
man woman
king queen
prince princess
nephew niece
bridegroom bride
wizard witch
rooster hen
buck doe
peacock peahen
bull cow
tiger tigress
gander goose
drake duck
lady gentleman
milkman milkmaid
